Story,Label,UniqueName,Section,Location,-ve Moment Combo,-ve Moment,As Top,+ve Moment Combo,+ve Moment,As Bot,Status
Story4,B1,65,ConcBm,End-I,DConS1,-9.6382,1.29,DConS1,8.7003,1.29,
Story4,B1,65,ConcBm,Middle,DConS1,-5.6085,1.29,DConS1,18.9872,1.29,
Story4,B1,65,ConcBm,End-J,DConS1,-22.4342,1.29,DConS1,11.2171,1.29,
Story4,B2,66,ConcBm,End-I,DConS1,-20.5696,1.29,DConS1,10.2848,1.29,
Story4,B2,66,ConcBm,Middle,DConS1,-5.1424,1.29,DConS1,13.8722,1.29,
Story4,B2,66,ConcBm,End-J,DConS1,-20.5696,1.29,DConS1,10.2848,1.29,
Story4,B3,67,ConcBm,End-I,DConS1,-22.4342,1.29,DConS1,11.2171,1.29,
Story4,B3,67,ConcBm,Middle,DConS1,-5.6085,1.29,DConS1,18.9872,1.29,
Story4,B3,67,ConcBm,End-J,DConS1,-9.6382,1.29,DConS1,8.7003,1.29,
Story4,B4,68,ConcBm,End-I,DConS1,-9.6382,1.29,DConS1,8.7003,1.29,
Story4,B4,68,ConcBm,Middle,DConS1,-5.6085,1.29,DConS1,18.9872,1.29,
Story4,B4,68,ConcBm,End-J,DConS1,-22.4342,1.29,DConS1,11.2171,1.29,
Story4,B5,69,ConcBm,End-I,DConS1,-20.5696,1.29,DConS1,10.2848,1.29,
Story4,B5,69,ConcBm,Middle,DConS1,-5.1424,1.29,DConS1,13.8722,1.29,
Story4,B5,69,ConcBm,End-J,DConS1,-20.5696,1.29,DConS1,10.2848,1.29,
Story4,B6,70,ConcBm,End-I,DConS1,-22.4342,1.29,DConS1,11.2171,1.29,
Story4,B6,70,ConcBm,Middle,DConS1,-5.6085,1.29,DConS1,18.9872,1.29,
Story4,B6,70,ConcBm,End-J,DConS1,-9.6382,1.29,DConS1,8.7003,1.29,
Story4,B7,71,ConcBm,End-I,DConS1,-9.6382,1.29,DConS1,8.7003,1.29,
Story4,B7,71,ConcBm,Middle,DConS1,-5.6085,1.29,DConS1,18.9872,1.29,
Story4,B7,71,ConcBm,End-J,DConS1,-22.4342,1.29,DConS1,11.2171,1.29,
Story4,B8,72,ConcBm,End-I,DConS1,-20.5696,1.29,DConS1,10.2848,1.29,
Story4,B8,72,ConcBm,Middle,DConS1,-5.1424,1.29,DConS1,13.8722,1.29,
Story4,B8,72,ConcBm,End-J,DConS1,-20.5696,1.29,DConS1,10.2848,1.29,
Story4,B9,73,ConcBm,End-I,DConS1,-22.4342,1.29,DConS1,11.2171,1.29,
Story4,B9,73,ConcBm,Middle,DConS1,-5.6085,1.29,DConS1,18.9872,1.29,
Story4,B9,73,ConcBm,End-J,DConS1,-9.6382,1.29,DConS1,8.7003,1.29,
Story4,B10,74,ConcBm,End-I,DConS1,-9.6382,1.29,DConS1,8.7003,1.29,
Story4,B10,74,ConcBm,Middle,DConS1,-5.6085,1.29,DConS1,18.9872,1.29,
Story4,B10,74,ConcBm,End-J,DConS1,-22.4342,1.29,DConS1,11.2171,1.29,
Story4,B11,75,ConcBm,End-I,DConS1,-20.5696,1.29,DConS1,10.2848,1.29,
Story4,B11,75,ConcBm,Middle,DConS1,-5.1424,1.29,DConS1,13.8722,1.29,
Story4,B11,75,ConcBm,End-J,DConS1,-20.5696,1.29,DConS1,10.2848,1.29,
Story4,B12,76,ConcBm,End-I,DConS1,-22.4342,1.29,DConS1,11.2171,1.29,
Story4,B12,76,ConcBm,Middle,DConS1,-5.6085,1.29,DConS1,18.9872,1.29,
Story4,B12,76,ConcBm,End-J,DConS1,-9.6382,1.29,DConS1,8.7003,1.29,
Story4,B13,77,ConcBm,End-I,DConS1,-9.6382,1.29,DConS1,8.7003,1.29,
Story4,B13,77,ConcBm,Middle,DConS1,-5.6085,1.29,DConS1,18.9872,1.29,
Story4,B13,77,ConcBm,End-J,DConS1,-22.4342,1.29,DConS1,11.2171,1.29,
Story4,B14,78,ConcBm,End-I,DConS1,-20.5696,1.29,DConS1,10.2848,1.29,
Story4,B14,78,ConcBm,Middle,DConS1,-5.1424,1.29,DConS1,13.8722,1.29,
Story4,B14,78,ConcBm,End-J,DConS1,-20.5696,1.29,DConS1,10.2848,1.29,
Story4,B15,79,ConcBm,End-I,DConS1,-22.4342,1.29,DConS1,11.2171,1.29,
Story4,B15,79,ConcBm,Middle,DConS1,-5.6085,1.29,DConS1,18.9872,1.29,
Story4,B15,79,ConcBm,End-J,DConS1,-9.6382,1.29,DConS1,8.7003,1.29,
Story4,B16,80,ConcBm,End-I,DConS1,-9.6382,1.29,DConS1,8.7003,1.29,
Story4,B16,80,ConcBm,Middle,DConS1,-5.6085,1.29,DConS1,18.9872,1.29,
Story4,B16,80,ConcBm,End-J,DConS1,-22.4342,1.29,DConS1,11.2171,1.29,
Story4,B17,81,ConcBm,End-I,DConS1,-20.5696,1.29,DConS1,10.2848,1.29,
Story4,B17,81,ConcBm,Middle,DConS1,-5.1424,1.29,DConS1,13.8722,1.29,
Story4,B17,81,ConcBm,End-J,DConS1,-20.5696,1.29,DConS1,10.2848,1.29,
Story4,B18,82,ConcBm,End-I,DConS1,-22.4342,1.29,DConS1,11.2171,1.29,
Story4,B18,82,ConcBm,Middle,DConS1,-5.6085,1.29,DConS1,18.9872,1.29,
Story4,B18,82,ConcBm,End-J,DConS1,-9.6382,1.29,DConS1,8.7003,1.29,
Story4,B19,83,ConcBm,End-I,DConS1,-9.6382,1.29,DConS1,8.7003,1.29,
Story4,B19,83,ConcBm,Middle,DConS1,-5.6085,1.29,DConS1,18.9872,1.29,
Story4,B19,83,ConcBm,End-J,DConS1,-22.4342,1.29,DConS1,11.2171,1.29,
Story4,B20,84,ConcBm,End-I,DConS1,-20.5696,1.29,DConS1,10.2848,1.29,
Story4,B20,84,ConcBm,Middle,DConS1,-5.1424,1.29,DConS1,13.8722,1.29,
Story4,B20,84,ConcBm,End-J,DConS1,-20.5696,1.29,DConS1,10.2848,1.29,
Story4,B21,85,ConcBm,End-I,DConS1,-22.4342,1.29,DConS1,11.2171,1.29,
Story4,B21,85,ConcBm,Middle,DConS1,-5.6085,1.29,DConS1,18.9872,1.29,
Story4,B21,85,ConcBm,End-J,DConS1,-9.6382,1.29,DConS1,8.7003,1.29,
Story4,B22,86,ConcBm,End-I,DConS1,-9.6382,1.29,DConS1,8.7003,1.29,
Story4,B22,86,ConcBm,Middle,DConS1,-5.6085,1.29,DConS1,18.9872,1.29,
Story4,B22,86,ConcBm,End-J,DConS1,-22.4342,1.29,DConS1,11.2171,1.29,
Story4,B23,87,ConcBm,End-I,DConS1,-20.5696,1.29,DConS1,10.2848,1.29,
Story4,B23,87,ConcBm,Middle,DConS1,-5.1424,1.29,DConS1,13.8722,1.29,
Story4,B23,87,ConcBm,End-J,DConS1,-20.5696,1.29,DConS1,10.2848,1.29,
Story4,B24,88,ConcBm,End-I,DConS1,-22.4342,1.29,DConS1,11.2171,1.29,
Story4,B24,88,ConcBm,Middle,DConS1,-5.6085,1.29,DConS1,18.9872,1.29,
Story4,B24,88,ConcBm,End-J,DConS1,-9.6382,1.29,DConS1,8.7003,1.29,
