Story,Label,UniqueName,Design Type,Length,Analysis Section,Design Section,Max Station Spacing,Min Number Stations
Story4,B1,65,Beam,24,ConcBm,ConcBm,2,
Story4,B2,66,Beam,24,ConcBm,ConcBm,2,
Story4,B3,67,Beam,24,ConcBm,ConcBm,2,
Story4,B4,68,Beam,24,ConcBm,ConcBm,2,
Story4,B5,69,Beam,24,ConcBm,ConcBm,2,
Story4,B6,70,Beam,24,ConcBm,ConcBm,2,
Story4,B7,71,Beam,24,ConcBm,ConcBm,2,
Story4,B8,72,Beam,24,ConcBm,ConcBm,2,
Story4,B9,73,Beam,24,ConcBm,ConcBm,2,
Story4,B10,74,Beam,24,ConcBm,ConcBm,2,
Story4,B11,75,Beam,24,ConcBm,ConcBm,2,
Story4,B12,76,Beam,24,ConcBm,ConcBm,2,
Story4,B13,77,Beam,24,ConcBm,ConcBm,2,
Story4,B14,78,Beam,24,ConcBm,ConcBm,2,
Story4,B15,79,Beam,24,ConcBm,ConcBm,2,
Story4,B16,80,Beam,24,ConcBm,ConcBm,2,
Story4,B17,81,Beam,24,ConcBm,ConcBm,2,
Story4,B18,82,Beam,24,ConcBm,ConcBm,2,
Story4,B19,83,Beam,24,ConcBm,ConcBm,2,
Story4,B20,84,Beam,24,ConcBm,ConcBm,2,
Story4,B21,85,Beam,24,ConcBm,ConcBm,2,
Story4,B22,86,Beam,24,ConcBm,ConcBm,2,
Story4,B23,87,Beam,24,ConcBm,ConcBm,2,
Story4,B24,88,Beam,24,ConcBm,ConcBm,2,
Story4,C1,1,Column,12,CIRCLE,CIRCLE,,3
Story4,C2,5,Column,12,CIRCLE,CIRCLE,,3
Story4,C3,9,Column,12,CIRCLE,CIRCLE,,3
Story4,C4,13,Column,12,CIRCLE,CIRCLE,,3
Story4,C5,17,Column,12,CIRCLE,CIRCLE,,3
Story4,C6,21,Column,12,CIRCLE,CIRCLE,,3
Story4,C7,25,Column,12,CIRCLE,CIRCLE,,3
Story4,C8,29,Column,12,CIRCLE,CIRCLE,,3
Story4,C9,33,Column,12,CIRCLE,CIRCLE,,3
Story4,C10,37,Column,12,CIRCLE,CIRCLE,,3
Story4,C11,41,Column,12,CIRCLE,CIRCLE,,3
Story4,C12,45,Column,12,CIRCLE,CIRCLE,,3
Story4,C13,49,Column,12,CIRCLE,CIRCLE,,3
Story4,C14,53,Column,12,CIRCLE,CIRCLE,,3
Story4,C15,57,Column,12,CIRCLE,CIRCLE,,3
Story4,C16,61,Column,12,CIRCLE,CIRCLE,,3
Story3,C1,2,Column,12,CIRCLE,CIRCLE,,3
Story3,C2,6,Column,12,CIRCLE,CIRCLE,,3
Story3,C3,10,Column,12,CIRCLE,CIRCLE,,3
Story3,C4,14,Column,12,CIRCLE,CIRCLE,,3
Story3,C5,18,Column,12,CIRCLE,CIRCLE,,3
Story3,C6,22,Column,12,CIRCLE,CIRCLE,,3
Story3,C7,26,Column,12,CIRCLE,CIRCLE,,3
Story3,C8,30,Column,12,CIRCLE,CIRCLE,,3
Story3,C9,34,Column,12,CIRCLE,CIRCLE,,3
Story3,C10,38,Column,12,CIRCLE,CIRCLE,,3
Story3,C11,42,Column,12,CIRCLE,CIRCLE,,3
Story3,C12,46,Column,12,CIRCLE,CIRCLE,,3
Story3,C13,50,Column,12,CIRCLE,CIRCLE,,3
Story3,C14,54,Column,12,CIRCLE,CIRCLE,,3
Story3,C15,58,Column,12,CIRCLE,CIRCLE,,3
Story3,C16,62,Column,12,CIRCLE,CIRCLE,,3
Story2,C1,3,Column,12,CIRCLE,CIRCLE,,3
Story2,C2,7,Column,12,CIRCLE,CIRCLE,,3
Story2,C3,11,Column,12,CIRCLE,CIRCLE,,3
Story2,C4,15,Column,12,CIRCLE,CIRCLE,,3
Story2,C5,19,Column,12,CIRCLE,CIRCLE,,3
Story2,C6,23,Column,12,CIRCLE,CIRCLE,,3
Story2,C7,27,Column,12,CIRCLE,CIRCLE,,3
Story2,C8,31,Column,12,CIRCLE,CIRCLE,,3
Story2,C9,35,Column,12,CIRCLE,CIRCLE,,3
Story2,C10,39,Column,12,CIRCLE,CIRCLE,,3
Story2,C11,43,Column,12,CIRCLE,CIRCLE,,3
Story2,C12,47,Column,12,CIRCLE,CIRCLE,,3
Story2,C13,51,Column,12,CIRCLE,CIRCLE,,3
Story2,C14,55,Column,12,CIRCLE,CIRCLE,,3
Story2,C15,59,Column,12,CIRCLE,CIRCLE,,3
Story2,C16,63,Column,12,CIRCLE,CIRCLE,,3
Story1,C1,4,Column,12,CIRCLE,CIRCLE,,3
Story1,C2,8,Column,12,CIRCLE,CIRCLE,,3
Story1,C3,12,Column,12,CIRCLE,CIRCLE,,3
Story1,C4,16,Column,12,CIRCLE,CIRCLE,,3
Story1,C5,20,Column,12,CIRCLE,CIRCLE,,3
Story1,C6,24,Column,12,CIRCLE,CIRCLE,,3
Story1,C7,28,Column,12,CIRCLE,CIRCLE,,3
Story1,C8,32,Column,12,CIRCLE,CIRCLE,,3
Story1,C9,36,Column,12,CIRCLE,CIRCLE,,3
Story1,C10,40,Column,12,CIRCLE,CIRCLE,,3
Story1,C11,44,Column,12,CIRCLE,CIRCLE,,3
Story1,C12,48,Column,12,CIRCLE,CIRCLE,,3
Story1,C13,52,Column,12,CIRCLE,CIRCLE,,3
Story1,C14,56,Column,12,CIRCLE,CIRCLE,,3
Story1,C15,60,Column,12,CIRCLE,CIRCLE,,3
Story1,C16,64,Column,12,CIRCLE,CIRCLE,,3
