Name,Material,Shape,Color,Area,J,I33,I22,I23,As2,As3,S33Pos,S33Neg,S22Pos,S22Neg,Z33,Z22,R33,R22,Cw,Fillet Radius,CG Offset 3,CG Offset 2,PNA Offset 3,PNA Offset 2,Area Modifier,As2 Modifier,As3 Modifier,J Modifier,I33 Modifier,I22 Modifier,Mass Modifier,Weight Modifier
CIRCLE,4000Psi,Concrete Circle,Magenta,1017.88,160731.04,82447.96,82447.96,0,916.09,916.09,4580.44,4580.44,4580.44,4580.44,7776,7776,9,9,,,0,0,0,0,1,1,1,1,1,1,1,1
ConcBm,4000Psi,Concrete Rectangular,Magenta,432,25192.3,20736,11664,0,360,360,1728,1728,1296,1296,2592,1944,6.9282,5.1962,,,0,0,0,0,1,1,1,1,1,1,1,1
ConcCol,4000Psi,Concrete Rectangular,Red,324,14784.12,8748,8748,0,270,270,972,972,972,972,1458,1458,5.1962,5.1962,,,0,0,0,0,1,1,1,1,1,1,1,1
SteelBm,A992Fy50,Steel I/Wide Flange,Cyan,10.25,0.59,561.85,18.02,0,4.49,5.58,62.43,62.43,6.01,6.01,70.56,9.27,7.4037,1.326,1378.13,,0,0,0,0,1,1,1,1,1,1,1,1
SteelCol,A992Fy50,Steel I/Wide Flange,Green,44,12.71,2774.67,972.17,0,9.04,32.04,308.3,308.3,108.02,108.02,338,163,7.9411,4.7005,70227,,0,0,0,0,1,1,1,1,1,1,1,1
W10X100,A992Fy50,Steel I/Wide Flange,Magenta,29.3,10.9,623,207,0,7.55,19.23,112.25,112.25,40.19,40.19,130,61,4.6112,2.658,5079.02,0.5,0,0,0,0,1,1,1,1,1,1,1,1
W10X112,A992Fy50,Steel I/Wide Flange,Red,32.9,15.1,716,236,0,8.61,21.67,125.61,125.61,45.38,45.38,147,69.2,4.6651,2.6783,6035.74,0.5,0,0,0,0,1,1,1,1,1,1,1,1
W10X12,A992Fy50,Steel I/Wide Flange,Green,3.54,0.05,53.8,2.18,0,1.88,1.39,10.9,10.9,1.1,1.1,12.6,1.74,3.8984,0.7847,50.7,0.3,0,0,0,0,1,1,1,1,1,1,1,1
W10X15,A992Fy50,Steel I/Wide Flange,Blue,4.41,0.1,68.9,2.89,0,2.3,1.8,13.79,13.79,1.45,1.45,16,2.3,3.9527,0.8095,68.02,0.3,0,0,0,0,1,1,1,1,1,1,1,1
W10X17,A992Fy50,Steel I/Wide Flange,Gray8Dark,4.99,0.16,81.9,3.56,0,2.42,2.21,16.22,16.22,1.78,1.78,18.7,2.8,4.0513,0.8446,84.63,0.3,0,0,0,0,1,1,1,1,1,1,1,1
W10X19,A992Fy50,Steel I/Wide Flange,Yellow,5.62,0.23,96.3,4.29,0,2.55,2.65,18.88,18.88,2.13,2.13,21.6,3.35,4.1395,0.8737,102.79,0.3,0,0,0,0,1,1,1,1,1,1,1,1
W10X33,A992Fy50,Steel I/Wide Flange,Gray8Dark,9.71,0.58,171,36.6,0,2.82,5.77,35.15,35.15,9.2,9.2,38.8,14,4.1965,1.9415,789.8,0.5,0,0,0,0,1,1,1,1,1,1,1,1
W10X39,A992Fy50,Steel I/Wide Flange,Yellow,11.5,0.98,209,45,0,3.12,7.06,42.14,42.14,11.26,11.26,46.8,17.2,4.2631,1.9781,993.2,0.5,0,0,0,0,1,1,1,1,1,1,1,1
W10X45,A992Fy50,Steel I/Wide Flange,Magenta,13.3,1.51,248,53.4,0,3.54,8.29,49.11,49.11,13.32,13.32,54.9,20.3,4.3182,2.0038,1197.62,0.5,0,0,0,0,1,1,1,1,1,1,1,1
W10X49,A992Fy50,Steel I/Wide Flange,Red,14.4,1.39,272,93.4,0,3.4,9.33,54.4,54.4,18.68,18.68,60.4,28.3,4.3461,2.5468,2079.32,0.5,0,0,0,0,1,1,1,1,1,1,1,1
W10X54,A992Fy50,Steel I/Wide Flange,Cyan,15.8,1.82,303,103,0,3.74,10.25,60,60,20.6,20.6,66.6,31.3,4.3792,2.5532,2305.36,0.505,0,0,0,0,1,1,1,1,1,1,1,1
W10X60,A992Fy50,Steel I/Wide Flange,Green,17.7,2.48,341,116,0,4.28,11.45,66.86,66.86,22.97,22.97,74.6,35,4.3893,2.56,2645.67,0.5,0,0,0,0,1,1,1,1,1,1,1,1
W10X68,A992Fy50,Steel I/Wide Flange,Blue,19.9,3.56,394,134,0,4.89,12.96,75.77,75.77,26.53,26.53,85.3,40.1,4.4496,2.5949,3065.46,0.5,0,0,0,0,1,1,1,1,1,1,1,1
W10X77,A992Fy50,Steel I/Wide Flange,Gray8Dark,22.7,5.11,455,154,0,5.62,14.79,85.85,85.85,30.2,30.2,97.6,45.9,4.4771,2.6046,3641.95,0.5,0,0,0,0,1,1,1,1,1,1,1,1
W10X88,A992Fy50,Steel I/Wide Flange,Yellow,26,7.53,534,179,0,6.53,17,98.89,98.89,34.76,34.76,113,53.1,4.5319,2.6239,4337.84,0.5,0,0,0,0,1,1,1,1,1,1,1,1
W12X106,A992Fy50,Steel I/Wide Flange,Yellow,31.2,9.13,933,301,0,7.87,20.13,144.65,144.65,49.34,49.34,164,75.1,5.4684,3.106,10624.95,0.6,0,0,0,0,1,1,1,1,1,1,1,1
W12X120,A992Fy50,Steel I/Wide Flange,Magenta,35.2,12.9,1070,345,0,9.3,22.76,163.36,163.36,56.1,56.1,186,85.4,5.5134,3.1307,12372.73,0.59,0,0,0,0,1,1,1,1,1,1,1,1
W12X136,A992Fy50,Steel I/Wide Flange,Magenta,39.9,18.5,1240,398,0,10.59,25.83,185.07,185.07,64.19,64.19,214,98,5.5747,3.1583,14659.41,0.6,0,0,0,0,1,1,1,1,1,1,1,1
